age,default,housing,contact,month,day_of_week,campaign,previous,cons.price.idx,cons.conf.idx,nr.employed,y
42,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
57,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
40,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
35,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
45,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
54,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
39,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
60,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
53,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
55,unknown,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
55,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
50,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
45,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
55,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
25,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
47,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
51,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
42,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
42,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
48,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
37,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
44,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
33,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
56,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
44,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
41,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
44,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
47,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
57,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
37,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
41,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,1
55,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
33,unknown,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
55,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
42,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
50,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
51,unknown,unknown,telephone,may,mon,1,0,93.994,-36.4,5191,0
38,unknown,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
49,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,1
38,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
31,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
41,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
39,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
49,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,1
34,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
35,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
57,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
60,unknown,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
33,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
42,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
45,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
42,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
53,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
37,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
44,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
54,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
49,no,no,telephone,may,mon,3,0,93.994,-36.4,5191,0
54,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
52,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
52,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
43,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
34,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
35,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
42,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
43,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
60,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
58,unknown,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
35,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
55,unknown,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
37,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
36,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
52,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
57,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
56,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
48,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
40,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
49,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
41,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
45,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
32,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
42,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
50,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
31,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
56,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
41,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,1
37,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
41,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
35,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
37,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
52,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
39,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
39,unknown,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
56,unknown,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
34,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
45,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,1
43,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
56,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
39,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
53,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
38,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
42,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
42,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
35,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
40,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
51,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
60,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
56,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
39,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
56,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
40,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
36,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
51,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
51,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
43,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
59,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
24,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
37,unknown,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
40,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
42,unknown,no,telephone,may,mon,3,0,93.994,-36.4,5191,0
39,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
37,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
38,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
56,unknown,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
40,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
54,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
43,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
36,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
45,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
42,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
43,no,no,telephone,may,mon,3,0,93.994,-36.4,5191,0
46,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
44,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
51,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
28,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
37,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
34,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
46,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
42,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,1
36,no,yes,telephone,may,mon,3,0,93.994,-36.4,5191,0
54,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
57,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
51,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
54,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
49,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
34,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
41,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
38,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
45,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
42,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
34,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
48,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
37,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
34,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
40,unknown,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
43,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
33,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
32,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
39,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
43,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
44,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
35,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
35,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
35,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
36,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
35,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
36,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
55,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
59,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
57,unknown,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
39,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
39,unknown,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
30,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
30,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
50,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
40,no,no,telephone,may,mon,3,0,93.994,-36.4,5191,0
35,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
43,unknown,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
36,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
46,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
40,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
58,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
42,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
35,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
43,unknown,no,telephone,may,mon,3,0,93.994,-36.4,5191,0
45,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
39,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
50,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
32,unknown,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
39,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
52,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
44,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
56,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
48,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
33,unknown,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
43,unknown,no,telephone,may,mon,3,0,93.994,-36.4,5191,0
57,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
36,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
34,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
34,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
30,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
33,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
32,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
36,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
36,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
33,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
40,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
41,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
51,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
36,no,yes,telephone,may,mon,3,0,93.994,-36.4,5191,0
28,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
53,no,yes,telephone,may,mon,3,0,93.994,-36.4,5191,0
58,unknown,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
45,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
43,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
33,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
33,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
27,no,unknown,telephone,may,mon,1,0,93.994,-36.4,5191,0
42,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
43,no,no,telephone,may,mon,3,0,93.994,-36.4,5191,0
42,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
27,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
34,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
31,unknown,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
54,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
40,unknown,no,telephone,may,mon,3,0,93.994,-36.4,5191,0
52,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
47,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
49,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
32,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
49,unknown,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
50,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
34,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
55,unknown,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
47,no,no,telephone,may,mon,4,0,93.994,-36.4,5191,0
51,no,no,telephone,may,mon,3,0,93.994,-36.4,5191,0
47,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
56,no,yes,telephone,may,mon,3,0,93.994,-36.4,5191,0
53,no,no,telephone,may,mon,3,0,93.994,-36.4,5191,0
36,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
42,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
44,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
39,no,yes,telephone,may,mon,3,0,93.994,-36.4,5191,1
37,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
60,unknown,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
36,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
42,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
31,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
53,unknown,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
45,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
37,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
47,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
49,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
36,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
35,no,no,telephone,may,mon,3,0,93.994,-36.4,5191,0
38,unknown,no,telephone,may,mon,4,0,93.994,-36.4,5191,0
38,unknown,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
50,unknown,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
59,unknown,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
43,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
42,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
40,unknown,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
46,unknown,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
57,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
42,no,yes,telephone,may,mon,3,0,93.994,-36.4,5191,0
41,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
54,no,yes,telephone,may,mon,3,0,93.994,-36.4,5191,0
27,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
36,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
58,unknown,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
40,unknown,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
34,unknown,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
33,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
56,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
42,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
43,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
54,no,yes,telephone,may,mon,3,0,93.994,-36.4,5191,0
53,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
42,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
40,unknown,no,telephone,may,mon,3,0,93.994,-36.4,5191,0
54,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
40,no,no,telephone,may,mon,4,0,93.994,-36.4,5191,0
26,no,yes,telephone,may,mon,3,0,93.994,-36.4,5191,0
33,no,no,telephone,may,mon,3,0,93.994,-36.4,5191,0
35,unknown,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
36,no,no,telephone,may,mon,3,0,93.994,-36.4,5191,0
29,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
36,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
35,no,yes,telephone,may,mon,5,0,93.994,-36.4,5191,0
50,no,no,telephone,may,mon,5,0,93.994,-36.4,5191,0
46,unknown,yes,telephone,may,mon,3,0,93.994,-36.4,5191,0
49,no,yes,telephone,may,mon,4,0,93.994,-36.4,5191,0
42,unknown,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
36,no,yes,telephone,may,mon,3,0,93.994,-36.4,5191,0
55,unknown,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
41,unknown,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
57,unknown,yes,telephone,may,mon,3,0,93.994,-36.4,5191,0
32,no,yes,telephone,may,mon,3,0,93.994,-36.4,5191,0
49,no,no,telephone,may,mon,3,0,93.994,-36.4,5191,0
57,unknown,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
58,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
52,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
50,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
41,unknown,yes,telephone,may,mon,4,0,93.994,-36.4,5191,0
33,no,yes,telephone,may,mon,3,0,93.994,-36.4,5191,0
57,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
48,unknown,no,telephone,may,mon,3,0,93.994,-36.4,5191,0
55,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
38,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
38,no,yes,telephone,may,mon,3,0,93.994,-36.4,5191,0
53,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
43,no,no,telephone,may,mon,4,0,93.994,-36.4,5191,0
36,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
32,no,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
33,no,no,telephone,may,mon,3,0,93.994,-36.4,5191,0
58,no,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
40,unknown,no,telephone,may,tue,3,0,93.994,-36.4,5191,0
57,no,yes,telephone,may,tue,2,0,93.994,-36.4,5191,0
45,no,yes,telephone,may,tue,3,0,93.994,-36.4,5191,0
42,unknown,yes,telephone,may,tue,3,0,93.994,-36.4,5191,0
46,no,yes,telephone,may,tue,1,0,93.994,-36.4,5191,0
36,no,no,telephone,may,tue,1,0,93.994,-36.4,5191,0
41,no,yes,telephone,may,tue,1,0,93.994,-36.4,5191,0
57,no,no,telephone,may,tue,1,0,93.994,-36.4,5191,0
49,unknown,yes,telephone,may,tue,1,0,93.994,-36.4,5191,0
56,no,no,telephone,may,tue,1,0,93.994,-36.4,5191,0
37,no,no,telephone,may,tue,1,0,93.994,-36.4,5191,0
37,no,no,telephone,may,tue,1,0,93.994,-36.4,5191,0
46,no,yes,telephone,may,tue,1,0,93.994,-36.4,5191,0
22,no,yes,telephone,may,tue,1,0,93.994,-36.4,5191,0
43,no,no,telephone,may,tue,1,0,93.994,-36.4,5191,0
49,no,no,telephone,may,tue,1,0,93.994,-36.4,5191,0
41,no,yes,telephone,may,tue,1,0,93.994,-36.4,5191,0
38,no,no,telephone,may,tue,1,0,93.994,-36.4,5191,0
33,no,no,telephone,may,tue,1,0,93.994,-36.4,5191,0
49,no,yes,telephone,may,tue,1,0,93.994,-36.4,5191,0
30,no,no,telephone,may,tue,2,0,93.994,-36.4,5191,0
33,no,yes,telephone,may,tue,1,0,93.994,-36.4,5191,0
34,no,no,telephone,may,tue,1,0,93.994,-36.4,5191,0
30,unknown,no,telephone,may,tue,1,0,93.994,-36.4,5191,0
59,unknown,yes,telephone,may,tue,1,0,93.994,-36.4,5191,0
59,unknown,unknown,telephone,may,tue,1,0,93.994,-36.4,5191,0
41,no,no,telephone,may,tue,1,0,93.994,-36.4,5191,0
48,unknown,yes,telephone,may,tue,4,0,93.994,-36.4,5191,0
28,unknown,yes,telephone,may,tue,1,0,93.994,-36.4,5191,1
44,no,yes,telephone,may,tue,1,0,93.994,-36.4,5191,1
59,unknown,no,telephone,may,tue,1,0,93.994,-36.4,5191,0
50,unknown,no,telephone,may,tue,1,0,93.994,-36.4,5191,0
35,no,no,telephone,may,tue,1,0,93.994,-36.4,5191,0
42,no,no,telephone,may,tue,1,0,93.994,-36.4,5191,0
45,no,no,telephone,may,tue,1,0,93.994,-36.4,5191,0
36,no,no,telephone,may,tue,2,0,93.994,-36.4,5191,0
56,unknown,no,telephone,may,tue,3,0,93.994,-36.4,5191,0
29,no,no,telephone,may,tue,1,0,93.994,-36.4,5191,0
41,no,yes,telephone,may,tue,2,0,93.994,-36.4,5191,0
42,unknown,no,telephone,may,tue,1,0,93.994,-36.4,5191,0
52,no,no,telephone,may,tue,1,0,93.994,-36.4,5191,0
48,unknown,unknown,telephone,may,tue,1,0,93.994,-36.4,5191,0
31,unknown,yes,telephone,may,tue,1,0,93.994,-36.4,5191,0
43,unknown,yes,telephone,may,tue,1,0,93.994,-36.4,5191,0
36,unknown,no,telephone,may,tue,1,0,93.994,-36.4,5191,0
42,no,yes,telephone,may,tue,1,0,93.994,-36.4,5191,0
